Year,Ages 0-14,Ages 15-64,Ages 65+
1960,12353099,13104410,812231
1961,12798920,13525223,836908
1962,13289481,13928117,859747
1963,13793938,14337365,881326
1964,14264452,14791733,902503
1965,14677597,15308675,923724
1966,15101434,15811948,950794
1967,15470118,16376979,976873
1968,15801280,16990446,1003477
1969,16128625,17625313,1032371
1970,16471780,18267119,1064692
1971,16835339,18906389,1107950
1972,17210275,19560128,1152997
1973,17594385,20229526,1198848
1974,17979795,20920163,1244292
1975,18362438,21634601,1288702
1976,18764484,22342232,1339943
1977,19171224,23068990,1389201
1978,19582869,23819535,1436081
1979,20000315,24599595,1479934
1980,20424829,25412285,1520627
1981,20876632,26231868,1564331
1982,21326499,27092905,1604160
1983,21779618,27987575,1641717
1984,22244185,28903769,1679093
1985,22724062,29834230,1717544
1986,23235695,30752502,1767149
1987,23766658,31680564,1816613
1988,24305516,32625305,1864178
1989,24833114,33600393,1907261
1990,25337211,34612955,1945003
1991,25865971,35599171,1989643
1992,26358791,36632391,2028942
1993,26826026,37701104,2066774
1994,27286344,38786172,2108331
1995,27748659,39878635,2156793
1996,28202902,40968168,2230674
1997,28668491,42053924,2308464
1998,29132515,43150766,2388728
1999,29579053,44277606,2469268
2000,30003334,45439351,2549072
2001,30450283,46578820,2643766
2002,30881882,47746666,2736712
2003,31294669,48928879,2828422
2004,31673842,50116489,2920213
2005,31991256,51320692,3014303
2006,32125224,52586114,3177337
2007,32176994,53883967,3344521
2008,32135131,55252065,3514771
2009,32036213,56685248,3692700
2010,31940606,58138731,3887446
2011,32141053,59396986,4032010
2012,32362322,60664608,4185710
2013,32601743,61922309,4347506
2014,32816515,63178605,4518017
2015,32964141,64449670,4699395
2016,33091183,65635165,4937464
2017,33095824,66884608,5192489
2018,33022514,68165589,5463291
2019,32949493,69420734,5746394
2020,32921093,70620268,6039724
