Year,Total Population
1960,26269741
1961,27161052
1962,28077345
1963,29012630
1964,29958687
1965,30909997
1966,31864175
1967,32823970
1968,33795203
1969,34786309
1970,35803591
1971,36849678
1972,37923400
1973,39022759
1974,40144250
1975,41285741
1976,42446659
1977,43629415
1978,44838485
1979,46079844
1980,47357741
1981,48672831
1982,50023564
1983,51408910
1984,52827047
1985,54275836
1986,55755346
1987,57263835
1988,58794999
1989,60340768
1990,61895169
1991,63454785
1992,65020124
1993,66593904
1994,68180846
1995,69784087
1996,71401743
1997,73030879
1998,74672009
1999,76325927
2000,77991757
2001,79672869
2002,81365260
2003,83051970
2004,84710544
2005,86326251
2006,87888675
2007,89405482
2008,90901967
2009,92414161
2010,93966784
2011,95570049
2012,97212639
2013,98871558
2014,100513137
2015,102113206
2016,103663812
2017,105172921
2018,106651394
2019,108116622
2020,109581085
